"01 Systems		"
"16th Asian Games		"
"2K Games	 United States	"
"3Com Middle East		"
"3Com Corporation		"
"3M		"
"3i Group plc		"
"3M Gulf Ltd		"
"3i Infotech Limited		"
"4S Technologies		"
"7DAYS		"
"Arabtec Holding		"
"Arab Insurance Group		"
"Arab Orient Insurance Company - UAE		"
"Al Madina for Finance and Investment Company		"
"Arab Heavy Industries		"
"Air Arabia		"
"Al Salam Bank - Bahrain		"
"Aramex		"
"Arabian Travel Market		"
"American Petroleum Institute		"
"Al Naboodah Contracting		"
"Aedas Limited		"
"Arab Radio & Television ART		"
"Aamal Holding		"
"Advanced Technology Investment Company		"
"Americana Group Food and Touristic Projects		"
"Al Mada Projects Management		"
"Arab Investment Company		"
"Al Hamra Real Estate Company		"
"Axiom Telecom		"
"Awal Bank		"
"A'ayan Capital Investment		"
"Al Shaheen Energy Services Company		"
"Arab Petroleum Investments Corporation		"
"Abu Dhabi Gas Liquefaction Company		"
"Abu Dhabi Company for Onshore Oil Operations		"
"Abu Dhabi National Oil Company		"
"ADNOC Distribution		"
"Abu Dhabi Oil Refining Company		"
"Abu Dhabi Marine Operating Company		"
"AIG Private Bank		"
"Arabtec Saudi Arabia		"
"Apple Inc		"
"Autodesk Incorporated		"
"AT and T Incorporated		"
"Al Yousuf Computer		"
"Air Arabia Maroc		"
"AIJI System		"
"Advent Software Incorporated		"
"Adobe Systems Incorporated		"
"Acer Incorporated		"
"ASUSTeK Computer Incorporated		"
"Alcatel-Lucent		"
"Avaya Incorporation		"
"Al Madina Real Estate Company - Oman		"
"Al Mashreq Investment Bank		"
"Al Zorah Development Company		"
"Al Qudra Real Estate		"
"Abu Dhabi Investment House - UAE		"
"Al Rajhi Investment Group		"
"Arabian Radio Network		"
"Aujan Industries		"
"Aujan Industrial Supplies		"
"Aujan Beverage Company		"
"Al Wataniya Investments Company		"
"Aswaaq		"
"AlShamel Travel and Tourism		"
"Al Tayyar Travel Group		"
"Al Wasl Hospital		"
"Arabian Drilling Company		"
"Abu Dhabi National Exhibition Centre		"
"Al Fattan Properties		"
"Abu Dhabi Group		"
"Al Madar Group		"
"ACI Real Estate		"
"Al Attar Properties		"
"Aakar Developers		"
"Appetite Catering		"
"Advanced Integrated Media		"
"Ashley		"
"Abu Dhabi Education Council		"
"Arab Radio and Television Network		"
"Alfa		"
"Arab Business Machine		"
"Asteco Contracting		"
"Azizi Investments		"
"Al Waleed Real Estate		"
"Airbus		"
"Al Yasat Property Investment Company		"
"Al Mazaya Holding Company		"
"Amlak Finance - UAE		"
"Agility - Kuwait		"
"Aabar Investments		"
"Abu Dhabi Commercial Bank		"
"Abu Dhabi National Energy Company		"
"ALDAR Properties		"
"Agthia Group		"
"Abu Dhabi National Hotels		"
"Abu Dhabi Islamic Bank - UAE		"
"Abu Dhabi National Insurance Company - UAE		"
"Arkan Building Materials Company		"
"Abu Dhabi National Company for Building Materials		"
"Abu Dhabi Ship Building		"
"Abu Dhabi Aviation Company		"
"Abu Dhabi National Takaful Company		"
"Al Khazna Insurance Company		"
"Arriyadh Development Company		"
"Arabian Shield Cooperative Insurance Company		"
"Arabian Pipes Company		"
"Arabian Cement Company - Saudi Arabia		"
"Arab National Bank - Saudi Arabia		"
"Affiliated Computer Services Incorporation		"
"Almarai Company - Saudi Arabia		"
"Allied Cooperative Insurance Group - Saudi Arabia		"
"Al Khaleej Training and Education Company		"
"Al Ahlia Insurance Company for Cooperative Insurance		"
"Al Rajhi Bank - Saudi Arabia		"
"Al Babtain Power and Telecommunication Company - Saudi Arabia		"
"Al Baha Investment and Development Company		"
"Al Ahsa Development Company		"
"Anaam International Holding Group		"
"A'ayan Leasing and Investment Company		"
"AREF Investment Group		"
"Al Ahlia Holding Company		"
"Al Ahli Bank of Kuwait		"
"Al Mal Investment Company - Kuwait		"
"Arabi Holding Group Company		"
"Ahli United Bank - Bahrain		"
"Advanced Technology Company		"
"AREF Energy Holding Company		"
"Abdulaziz Al Saghyir Commercial Investment Company		"
"Abu Dhabi Tourism Authority		"
"Arcapita Bank		"
